candle_id,start_time,stop_time,session_time,start_temp,stop_temp,start_rh,stop_rh,start_dp,stop_dp,session_id
11,2024-02-24 12:20:03,2024-02-24 16:22:43,4.0,70.9,73.5,55.5,46.8,54.2,52,146
11,2024-06-19 13:43:13,2024-06-19 18:43:08,5.0,74.7,76.2,54.5,52,57.2,57.3,147
11,2024-06-29 12:21:44,2024-06-29 22:54:28,10.5,70,73.8,57.9,50,54.5,54,148
11,2024-08-04 15:13:24,2024-08-04 19:16:02,4.0,73,73.8,62.8,53.1,59.5,55.6,149
11,2024-09-29 13:46:21,2024-09-29 23:16:48,9.5,74.6,76.7,47.7,38.8,53.5,49.6,150
11,2024-11-01 9:24:27,2024-11-01 15:33:39,6.2,72.8,78.4,51.4,41.8,53.8,53.3,151
11,2024-11-09 13:07:14,2024-11-09 17:02:26,3.9,73.1,77.8,51,39.1,53.9,50.9,152
11,2024-11-15 9:07:28,2024-11-15 13:02:03,3.9,70.9,73.9,44.9,41.4,48.4,49,153
11,2024-11-24 15:31:50,2024-11-24 19:49:58,4.3,74,80.9,59.4,47.6,59,59.1,154
11,2024-12-01 15:37:05,2024-12-01 18:22:32,2.8,70.6,77.9,56.9,45.9,54.6,55.4,155
11,2024-12-06 13:00:11,2024-12-06 17:01:57,4.0,69.9,76.9,52.3,39.3,51.7,50.3,156
11,2024-12-07 8:03:56,2024-12-07 13:50:50,5.8,69.4,73.3,48.7,41.8,49.3,48.7,157
11,2024-12-11 10:08:43,2024-12-11 14:37:59,4.5,69.5,75.6,45.2,40.9,47.4,50.2,158
11,2025-01-08 13:41:00,2025-01-08 18:02:33,4.4,74.4,76.7,31.9,30,42.5,42.9,159
11,2025-01-11 13:09:42,2025-01-11 17:05:41,3.9,71.9,77.8,36.8,36,44,48.7,160
11,2025-01-14 13:22:52,2025-01-14 22:47:27,9.4,73.3,74.4,39.5,39,47.2,47.9,161
12,2025-01-12 20:25:43,2025-01-13 0:03:26,3.6,72.6,75.4,48.4,42.8,52,51.2,162
12,2025-04-13 15:38:20,2025-04-13 19:13:12,3.6,74.1,72.4,54.4,50.5,56.6,52.9,163
12,2025-05-04 15:28:26,2025-05-04 18:33:48,3.1,75.4,75.9,62.5,50.3,61.7,56.1,164
12,2025-06-19 21:18:37,2025-06-19 23:35:33,2.3,71.5,70.1,55.9,54.6,54.9,53,165
12,2025-06-22 15:22:32,2025-06-22 18:22:26,3.0,72.7,73.5,54.9,50.1,55.5,53.8,166
12,2025-07-06 15:45:48,2025-07-06 18:48:49,3.1,73.1,76.7,57.9,50.5,57.4,56.9,167
12,2025-07-09 9:25:29,2025-07-09 12:51:23,3.4,74.5,75.1,56,49.9,57.7,55.1,168
